RXN	LB	flux	UB
RXN-AACPS3MBUT_FWD-UNKNOWN	        0.00	0.01328685	     1000.00
RXN-ADSK_FWD-tufA	        0.00	0.93055284	     1000.00
RXN-BC13FAS_FWD-UNKNOWN	        0.00	0.00188587	     1000.00
RXN-BC17FAS_FWD-UNKNOWN	        0.00	0.01140097	     1000.00
RXN-BPNT_FWD-tufA	        0.00	0.93055284	     1000.00
RXN-CAt7r_FWD-ECM27	        0.00	0.00134029	     1000.00
RXN-CDGS_FWD-cdsA	        0.00	0.03073979	     1000.00
RXN-CDGSOT_FWD-UNKNOWN	        0.00	0.02209142	     1000.00
RXN-DAGP_FWD-UNKNOWN	        0.00	0.01212100	     1000.00
RXN-DAGS_FWD-UNKNOWN	        0.00	0.04286079	     1000.00
RXN-DLMETR_REV-UNKNOWN	        0.00	0.09948689	     1000.00
RXN-E4PD_FWD-UNKNOWN	        0.00	0.00013659	     1000.00
RXN-FADRx2_FWD-UNKNOWN	        0.00	0.00072283	     1000.00
RXN-FE2OR_FWD-UNKNOWN	        0.00	0.00049740	     1000.00
RXN-G3PCT_FWD-UNKNOWN	        0.00	0.18193467	     1000.00
RXN-G5SADs_FWD-UNKNOWN	        0.00	0.07333044	     1000.00
RXN-GDAGS_FWD-UNKNOWN	        0.00	0.00612641	     1000.00
RXN-GDAGS2_FWD-UNKNOWN	        0.00	0.00262620	     1000.00
RXN-I2FE2SS_FWD-UNKNOWN	        0.00	0.00026313	     1000.00
RXN-I2FE2SS2_FWD-UNKNOWN	        0.00	0.00022985	     1000.00
RXN-I2FE2ST_FWD-UNKNOWN	        0.00	0.00003328	     1000.00
RXN-I4FE4SR_FWD-UNKNOWN	        0.00	0.00022985	     1000.00
RXN-I4FE4ST_FWD-UNKNOWN	        0.00	0.00022985	     1000.00
RXN-ICYSDS_FWD-UNKNOWN	        0.00	0.00098596	     1000.00
RXN-MAGS_FWD-UNKNOWN	        0.00	0.04286079	     1000.00
RXN-ORPT_REV-UNKNOWN	        0.00	0.05411909	     1000.00
RXN-PAPSR_FWD-cysH	        0.00	0.93055284	     1000.00
RXN-PDGS_FWD-UNKNOWN	        0.00	0.04061332	     1000.00
RXN-PDX5POi_FWD-PNPOx	        0.00	0.00013659	     1000.00
RXN-PDX5PS2_FWD-UNKNOWN	        0.00	0.00013659	     1000.00
RXN-PERD_FWD-UNKNOWN	        0.00	0.00013659	     1000.00
RXN-PGLP_FWD-UNKNOWN	        0.00	0.00822118	     1000.00
RXN-PGLS_FWD-UNKNOWN	        0.00	0.00084582	     1000.00
RXN-PHSD_FWD-UNKNOWN	        0.00	0.02209142	     1000.00
RXN-PMPK_FWD-UNKNOWN	        0.00	0.00000008	     1000.00
RXN-R07459_FWD-thiF	        0.00	0.00000008	     1000.00
RXN-R09977_FWD-UNKNOWN	        0.00	0.00000008	     1000.00
RXN-SADT_FWD-tufA	        0.00	0.93055284	     1000.00
RXN-UDCPT_FWD-mraY	        0.00	0.04061332	     1000.00
RXN-UPPPHL_FWD-uppP	        0.00	0.04061332	     1000.00
