RXN	LB	flux	UB
RXN-13PPDH_FWD-BDH	        0.00	0.00000000	     1000.00
RXN-13PPDH_FWD-gbsB_1798	        0.00	0.00000000	     1000.00
RXN-13PPDH_FWD-gbsB_1827	        0.00	0.00000000	     1000.00
RXN-2D3DGLNR_FWD-kduD	        0.00	0.00000000	     1000.00
RXN-2D3DGLNR_REV-kduD	        0.00	0.00000000	     1000.00
RXN-2DHPFALDL_FWD-panB	        0.00	0.00000000	     1000.00
RXN-2HBO_FWD-lctE	        0.00	0.00000000	     1000.00
RXN-2HBO_FWD-lctE_1160	        0.00	0.00000000	     1000.00
RXN-34DHOXPEGOX_FWD-gbsB_1798	        0.00	0.00000000	     1000.00
RXN-34DHOXPEGOX_REV-gbsB_1798	        0.00	0.00000000	     1000.00
RXN-3HAD100_FWD-fabZ	        0.00	0.07243474	     1000.00
RXN-3HAD100_REV-fabZ	        0.00	0.00000000	     1000.00
RXN-3HAD120_FWD-fabZ	        0.00	0.06806294	     1000.00
RXN-3HAD120_REV-fabZ	        0.00	0.00000000	     1000.00
RXN-3HAD140_FWD-fabZ	        0.00	0.06806294	     1000.00
RXN-3HAD140_REV-fabZ	        0.00	0.00000000	     1000.00
RXN-3HAD160_FWD-fabZ	        0.00	0.06343397	     1000.00
RXN-3HAD160_REV-fabZ	        0.00	0.00000000	     1000.00
RXN-3HAD180_FWD-fabZ	        0.00	0.00531474	     1000.00
RXN-3HAD180_REV-fabZ	        0.00	0.00000000	     1000.00
RXN-3HAD40_1_FWD-fabZ	        0.00	0.07243474	     1000.00
RXN-3HAD40_1_REV-fabZ	        0.00	0.00000000	     1000.00
RXN-3HAD60_FWD-fabZ	        0.00	0.07243474	     1000.00
RXN-3HAD60_REV-fabZ	        0.00	0.00000000	     1000.00
RXN-3HAD80_FWD-fabZ	        0.00	0.07243474	     1000.00
RXN-3HAD80_REV-fabZ	        0.00	0.00000000	     1000.00
RXN-3MOPDC_FWD-UNKNOWN	        0.00	0.00000000	     1000.00
RXN-3OACOAS_FWD-UNKNOWN	        0.00	0.00000000	     1000.00
RXN-3OAR100_FWD-fabG_1283	        0.00	0.00000000	     1000.00
RXN-3OAR100_REV-fabG_1283	        0.00	0.07243474	     1000.00
RXN-3OAR100_FWD-fabG_2272	        0.00	0.00000000	     1000.00
RXN-3OAR100_REV-fabG_2272	        0.00	0.00000000	     1000.00
RXN-3OAR120_FWD-fabG_1283	        0.00	0.00000000	     1000.00
RXN-3OAR120_REV-fabG_1283	        0.00	0.06806294	     1000.00
RXN-3OAR120_FWD-fabG_2272	        0.00	0.00000000	     1000.00
RXN-3OAR120_REV-fabG_2272	        0.00	0.00000000	     1000.00
RXN-3OAR140_FWD-fabG_1283	        0.00	0.00000000	     1000.00
RXN-3OAR140_REV-fabG_1283	        0.00	0.06806294	     1000.00
RXN-3OAR140_FWD-fabG_2272	        0.00	0.00000000	     1000.00
RXN-3OAR140_REV-fabG_2272	        0.00	0.00000000	     1000.00
RXN-3OAR160_FWD-Clo1313_1283	        0.00	0.00000000	     1000.00
RXN-3OAR160_REV-Clo1313_1283	        0.00	0.06343397	     1000.00
RXN-3OAR160_FWD-Clo1313_2272	        0.00	0.00000000	     1000.00
RXN-3OAR160_REV-Clo1313_2272	        0.00	0.00000000	     1000.00
RXN-3OAR18B_FWD-fabG_1283	        0.00	0.00531474	     1000.00
RXN-3OAR18B_REV-fabG_1283	        0.00	0.00000000	     1000.00
RXN-3OAR18B_FWD-fabG_2272	        0.00	0.00000000	     1000.00
RXN-3OAR18B_REV-fabG_2272	        0.00	0.00000000	     1000.00
RXN-3OAR40_FWD-fabG_1283	        0.00	0.00000000	     1000.00
RXN-3OAR40_REV-fabG_1283	        0.00	0.07243474	     1000.00
RXN-3OAR40_FWD-fabG_2272	        0.00	0.00000000	     1000.00
RXN-3OAR40_REV-fabG_2272	        0.00	0.00000000	     1000.00
RXN-3OAR60_FWD-fabG_1283	        0.00	0.00000000	     1000.00
RXN-3OAR60_REV-fabG_1283	        0.00	0.07243474	     1000.00
RXN-3OAR60_FWD-fabG_2272	        0.00	0.00000000	     1000.00
RXN-3OAR60_REV-fabG_2272	        0.00	0.00000000	     1000.00
RXN-3OAR80_FWD-fabG_1283	        0.00	0.00000000	     1000.00
RXN-3OAR80_REV-fabG_1283	        0.00	0.07243474	     1000.00
RXN-3OAR80_FWD-fabG_2272	        0.00	0.00000000	     1000.00
RXN-3OAR80_REV-fabG_2272	        0.00	0.00000000	     1000.00
RXN-3OAS100_FWD-fabF	        0.00	0.07243474	     1000.00
RXN-3OAS100_FWD-fabHA_1281	        0.00	0.00000000	     1000.00
RXN-3OAS100_FWD-fabHA_2100	        0.00	0.00000000	     1000.00
RXN-3OAS100_FWD-fabHA_2102	        0.00	0.00000000	     1000.00
