protein	synthesis rate
PROSYN-Clo1313_0011      	 3.77522507E-06
PROSYN-Clo1313_0020      	 2.53667371E-05
PROSYN-Clo1313_0021      	 2.53667371E-05
PROSYN-Clo1313_0022      	 2.53667371E-05
PROSYN-Clo1313_0023      	 2.53667371E-05
PROSYN-Clo1313_0030      	 2.28176765E-07
PROSYN-Clo1313_0034      	 0.00000000E+00
PROSYN-Clo1313_0046      	 0.00000000E+00
PROSYN-Clo1313_0061      	 0.00000000E+00
PROSYN-Clo1313_0062      	 0.00000000E+00
PROSYN-Clo1313_0063      	 0.00000000E+00
PROSYN-Clo1313_0064      	 0.00000000E+00
PROSYN-Clo1313_0065      	 0.00000000E+00
PROSYN-Clo1313_0066      	 0.00000000E+00
PROSYN-Clo1313_0068      	 0.00000000E+00
PROSYN-Clo1313_0073      	 0.00000000E+00
PROSYN-Clo1313_0074      	 0.00000000E+00
PROSYN-Clo1313_0075      	 0.00000000E+00
PROSYN-Clo1313_0076      	 0.00000000E+00
PROSYN-Clo1313_0077      	 0.00000000E+00
PROSYN-Clo1313_0078      	 0.00000000E+00
PROSYN-Clo1313_0079      	 0.00000000E+00
PROSYN-Clo1313_0080      	 0.00000000E+00
PROSYN-Clo1313_0083      	 7.05801799E-08
PROSYN-Clo1313_0098      	 0.00000000E+00
PROSYN-Clo1313_0099      	 0.00000000E+00
PROSYN-Clo1313_0100      	 5.93753989E-06
PROSYN-Clo1313_0101      	 3.87524867E-05
PROSYN-Clo1313_0102      	 0.00000000E+00
PROSYN-Clo1313_0108      	 0.00000000E+00
PROSYN-Clo1313_0109      	 0.00000000E+00
PROSYN-Clo1313_0110      	 0.00000000E+00
PROSYN-Clo1313_0111      	 0.00000000E+00
PROSYN-Clo1313_0112      	 0.00000000E+00
PROSYN-Clo1313_0113      	 0.00000000E+00
PROSYN-Clo1313_0114      	 0.00000000E+00
PROSYN-Clo1313_0115      	 0.00000000E+00
PROSYN-Clo1313_0116      	 0.00000000E+00
PROSYN-Clo1313_0117      	 0.00000000E+00
PROSYN-Clo1313_0118      	 0.00000000E+00
PROSYN-Clo1313_0119      	 8.76333644E-07
PROSYN-Clo1313_0120      	 8.76333644E-07
PROSYN-Clo1313_0122      	 0.00000000E+00
PROSYN-Clo1313_0124      	 2.95389885E-07
PROSYN-Clo1313_0137      	 0.00000000E+00
PROSYN-Clo1313_0138      	 0.00000000E+00
PROSYN-Clo1313_0139      	 0.00000000E+00
PROSYN-Clo1313_0142      	 0.00000000E+00
PROSYN-Clo1313_0144      	 4.77648371E-06
PROSYN-Clo1313_0145      	 0.00000000E+00
PROSYN-Clo1313_0146      	 0.00000000E+00
PROSYN-Clo1313_0147      	 0.00000000E+00
PROSYN-Clo1313_0148      	 0.00000000E+00
PROSYN-Clo1313_0152      	 0.00000000E+00
PROSYN-Clo1313_0165      	 0.00000000E+00
PROSYN-Clo1313_0168      	 0.00000000E+00
PROSYN-Clo1313_0169      	 3.10321456E-03
PROSYN-Clo1313_0172      	 0.00000000E+00
PROSYN-Clo1313_0175      	 0.00000000E+00
PROSYN-Clo1313_0177      	 0.00000000E+00
PROSYN-Clo1313_0184      	 4.14639504E-07
PROSYN-Clo1313_0185      	 0.00000000E+00
PROSYN-Clo1313_0186      	 7.05801799E-08
PROSYN-Clo1313_0188      	 1.46723658E-07
PROSYN-Clo1313_0189      	 1.53488560E-08
PROSYN-Clo1313_0190      	 1.53488560E-07
PROSYN-Clo1313_0191      	 3.06977120E-08
PROSYN-Clo1313_0192      	 1.53488560E-08
PROSYN-Clo1313_0193      	 4.60465680E-08
PROSYN-Clo1313_0194      	 1.53488560E-08
PROSYN-Clo1313_0195      	 4.60465680E-08
PROSYN-Clo1313_0196      	 1.53488560E-08
PROSYN-Clo1313_0202      	 0.00000000E+00
PROSYN-Clo1313_0213      	 4.10343138E-07
PROSYN-Clo1313_0214      	 1.51347940E-07
PROSYN-Clo1313_0217      	 1.22521732E-06
PROSYN-Clo1313_0218      	 5.00445650E-06
PROSYN-Clo1313_0224      	 4.17467801E-10
PROSYN-Clo1313_0228      	 0.00000000E+00
PROSYN-Clo1313_0229      	 0.00000000E+00
PROSYN-Clo1313_0230      	 0.00000000E+00
PROSYN-Clo1313_0234      	 0.00000000E+00
PROSYN-Clo1313_0236      	 2.59159409E-07
PROSYN-Clo1313_0238      	 3.89573014E-05
PROSYN-Clo1313_0239      	 0.00000000E+00
PROSYN-Clo1313_0245      	 0.00000000E+00
PROSYN-Clo1313_0262      	 1.34281519E-05
PROSYN-Clo1313_0275      	 5.23885167E-08
PROSYN-Clo1313_0288      	 0.00000000E+00
PROSYN-Clo1313_0295      	 2.48927338E-06
PROSYN-Clo1313_0296      	 2.48927338E-06
PROSYN-Clo1313_0304      	 1.33667171E-05
PROSYN-Clo1313_0305      	 5.93753989E-06
PROSYN-Clo1313_0306      	 1.34281519E-05
PROSYN-Clo1313_0309      	 1.34281519E-05
PROSYN-Clo1313_0310      	 1.34281519E-05
PROSYN-Clo1313_0311      	 1.34281519E-05
PROSYN-Clo1313_0313      	 0.00000000E+00
PROSYN-Clo1313_0314      	 0.00000000E+00
PROSYN-Clo1313_0315      	 1.34281519E-05
PROSYN-Clo1313_0316      	 1.34281519E-05
PROSYN-Clo1313_0317      	 1.34281519E-05
PROSYN-Clo1313_0346      	 2.10730524E-08
PROSYN-Clo1313_0349      	 0.00000000E+00
PROSYN-Clo1313_0350      	 0.00000000E+00
PROSYN-Clo1313_0365      	 6.30171084E-08
PROSYN-Clo1313_0370      	 0.00000000E+00
PROSYN-Clo1313_0372      	 3.19711068E-07
PROSYN-Clo1313_0373      	 0.00000000E+00
PROSYN-Clo1313_0374      	 0.00000000E+00
PROSYN-Clo1313_0378      	 0.00000000E+00
PROSYN-Clo1313_0380      	 0.00000000E+00
PROSYN-Clo1313_0382      	 0.00000000E+00
PROSYN-Clo1313_0383      	 0.00000000E+00
PROSYN-Clo1313_0384      	 0.00000000E+00
PROSYN-Clo1313_0385      	 0.00000000E+00
PROSYN-Clo1313_0387      	 0.00000000E+00
PROSYN-Clo1313_0388      	 4.74205603E-07
PROSYN-Clo1313_0391      	 0.00000000E+00
PROSYN-Clo1313_0397      	 0.00000000E+00
PROSYN-Clo1313_0398      	 0.00000000E+00
PROSYN-Clo1313_0399      	 0.00000000E+00
PROSYN-Clo1313_0400      	 0.00000000E+00
PROSYN-Clo1313_0403      	 3.93220096E-06
PROSYN-Clo1313_0413      	 0.00000000E+00
PROSYN-Clo1313_0415      	 1.56245161E-05
PROSYN-Clo1313_0420      	 0.00000000E+00
PROSYN-Clo1313_0421      	 4.98467228E-08
PROSYN-Clo1313_0422      	 4.98467228E-08
PROSYN-Clo1313_0423      	 3.97341069E-07
PROSYN-Clo1313_0424      	 0.00000000E+00
PROSYN-Clo1313_0425      	 3.14287573E-07
PROSYN-Clo1313_0426      	 5.22594985E-07
PROSYN-Clo1313_0427      	 5.95107898E-09
PROSYN-Clo1313_0428      	 4.66110215E-07
PROSYN-Clo1313_0429      	 5.95107898E-09
PROSYN-Clo1313_0430      	 1.08112746E-06
PROSYN-Clo1313_0436      	 0.00000000E+00
PROSYN-Clo1313_0444      	 1.34281519E-05
PROSYN-Clo1313_0445      	 1.34281519E-05
PROSYN-Clo1313_0446      	 1.34281519E-05
PROSYN-Clo1313_0447      	 1.34281519E-05
PROSYN-Clo1313_0448      	 1.34281519E-05
PROSYN-Clo1313_0449      	 1.34281519E-05
PROSYN-Clo1313_0450      	 1.34281519E-05
PROSYN-Clo1313_0451      	 1.34281519E-05
PROSYN-Clo1313_0452      	 1.34281519E-05
PROSYN-Clo1313_0453      	 1.34281519E-05
PROSYN-Clo1313_0454      	 1.34281519E-05
PROSYN-Clo1313_0455      	 1.34281519E-05
PROSYN-Clo1313_0456      	 1.34281519E-05
PROSYN-Clo1313_0457      	 1.34281519E-05
PROSYN-Clo1313_0458      	 1.34281519E-05
PROSYN-Clo1313_0459      	 1.34281519E-05
PROSYN-Clo1313_0460      	 1.34281519E-05
PROSYN-Clo1313_0461      	 1.34281519E-05
PROSYN-Clo1313_0462      	 1.34281519E-05
PROSYN-Clo1313_0463      	 1.34281519E-05
PROSYN-Clo1313_0464      	 1.34281519E-05
PROSYN-Clo1313_0466      	 1.03248899E-05
PROSYN-Clo1313_0470      	 1.34281519E-05
PROSYN-Clo1313_0471      	 1.34281519E-05
