protein	synthesis rate
PROSYN-Clo1313_0011      	 3.02950290E-06
PROSYN-Clo1313_0020      	 0.00000000E+00
PROSYN-Clo1313_0021      	 0.00000000E+00
PROSYN-Clo1313_0022      	 0.00000000E+00
PROSYN-Clo1313_0023      	 0.00000000E+00
PROSYN-Clo1313_0030      	 2.68887117E-06
PROSYN-Clo1313_0034      	 0.00000000E+00
PROSYN-Clo1313_0046      	 0.00000000E+00
PROSYN-Clo1313_0061      	 0.00000000E+00
PROSYN-Clo1313_0062      	 0.00000000E+00
PROSYN-Clo1313_0063      	 0.00000000E+00
PROSYN-Clo1313_0064      	 0.00000000E+00
PROSYN-Clo1313_0065      	 0.00000000E+00
PROSYN-Clo1313_0066      	 0.00000000E+00
PROSYN-Clo1313_0068      	 0.00000000E+00
PROSYN-Clo1313_0073      	 0.00000000E+00
PROSYN-Clo1313_0074      	 0.00000000E+00
PROSYN-Clo1313_0075      	 0.00000000E+00
PROSYN-Clo1313_0076      	 0.00000000E+00
PROSYN-Clo1313_0077      	 0.00000000E+00
PROSYN-Clo1313_0078      	 0.00000000E+00
PROSYN-Clo1313_0079      	 0.00000000E+00
PROSYN-Clo1313_0080      	 0.00000000E+00
PROSYN-Clo1313_0083      	 1.23294632E-07
PROSYN-Clo1313_0098      	 0.00000000E+00
PROSYN-Clo1313_0099      	 0.00000000E+00
PROSYN-Clo1313_0100      	 2.79105298E-06
PROSYN-Clo1313_0101      	 1.82163397E-05
PROSYN-Clo1313_0102      	 0.00000000E+00
PROSYN-Clo1313_0108      	 0.00000000E+00
PROSYN-Clo1313_0109      	 0.00000000E+00
PROSYN-Clo1313_0110      	 0.00000000E+00
PROSYN-Clo1313_0111      	 0.00000000E+00
PROSYN-Clo1313_0112      	 0.00000000E+00
PROSYN-Clo1313_0113      	 0.00000000E+00
PROSYN-Clo1313_0114      	 0.00000000E+00
PROSYN-Clo1313_0115      	 0.00000000E+00
PROSYN-Clo1313_0116      	 0.00000000E+00
PROSYN-Clo1313_0117      	 0.00000000E+00
PROSYN-Clo1313_0118      	 0.00000000E+00
PROSYN-Clo1313_0119      	 3.37733463E-06
PROSYN-Clo1313_0120      	 3.37733463E-06
PROSYN-Clo1313_0122      	 0.00000000E+00
PROSYN-Clo1313_0124      	 5.38311385E-08
PROSYN-Clo1313_0137      	 0.00000000E+00
PROSYN-Clo1313_0138      	 0.00000000E+00
PROSYN-Clo1313_0139      	 0.00000000E+00
PROSYN-Clo1313_0142      	 0.00000000E+00
PROSYN-Clo1313_0144      	 4.13372153E-06
PROSYN-Clo1313_0145      	 0.00000000E+00
PROSYN-Clo1313_0146      	 0.00000000E+00
PROSYN-Clo1313_0147      	 0.00000000E+00
PROSYN-Clo1313_0148      	 0.00000000E+00
PROSYN-Clo1313_0152      	 0.00000000E+00
PROSYN-Clo1313_0165      	 0.00000000E+00
PROSYN-Clo1313_0168      	 0.00000000E+00
PROSYN-Clo1313_0169      	 4.49122690E-03
PROSYN-Clo1313_0172      	 0.00000000E+00
PROSYN-Clo1313_0175      	 0.00000000E+00
PROSYN-Clo1313_0177      	 1.11498581E-08
PROSYN-Clo1313_0184      	 3.48389151E-07
PROSYN-Clo1313_0185      	 0.00000000E+00
PROSYN-Clo1313_0186      	 6.16473158E-08
PROSYN-Clo1313_0188      	 1.26979339E-07
PROSYN-Clo1313_0189      	 1.53785507E-08
PROSYN-Clo1313_0190      	 1.53785507E-07
PROSYN-Clo1313_0191      	 3.07571015E-08
PROSYN-Clo1313_0192      	 1.53785507E-08
PROSYN-Clo1313_0193      	 4.61356522E-08
PROSYN-Clo1313_0194      	 1.53785507E-08
PROSYN-Clo1313_0195      	 4.61356522E-08
PROSYN-Clo1313_0196      	 1.53785507E-08
PROSYN-Clo1313_0202      	 0.00000000E+00
PROSYN-Clo1313_0213      	 3.55124055E-07
PROSYN-Clo1313_0214      	 1.30981340E-07
PROSYN-Clo1313_0217      	 1.06034219E-06
PROSYN-Clo1313_0218      	 4.11313786E-06
PROSYN-Clo1313_0224      	 3.19026416E-10
PROSYN-Clo1313_0228      	 0.00000000E+00
PROSYN-Clo1313_0229      	 0.00000000E+00
PROSYN-Clo1313_0230      	 0.00000000E+00
PROSYN-Clo1313_0234      	 0.00000000E+00
PROSYN-Clo1313_0236      	 2.26359326E-07
PROSYN-Clo1313_0238      	 1.68908075E-05
PROSYN-Clo1313_0239      	 0.00000000E+00
PROSYN-Clo1313_0245      	 0.00000000E+00
PROSYN-Clo1313_0262      	 1.35391833E-05
PROSYN-Clo1313_0275      	 4.53386953E-08
PROSYN-Clo1313_0288      	 0.00000000E+00
PROSYN-Clo1313_0295      	 2.09141997E-06
PROSYN-Clo1313_0296      	 2.09141997E-06
PROSYN-Clo1313_0304      	 5.34670459E-06
PROSYN-Clo1313_0305      	 2.79105298E-06
PROSYN-Clo1313_0306      	 1.35391833E-05
PROSYN-Clo1313_0309      	 1.35391833E-05
PROSYN-Clo1313_0310      	 1.35391833E-05
PROSYN-Clo1313_0311      	 1.35391833E-05
PROSYN-Clo1313_0313      	 0.00000000E+00
PROSYN-Clo1313_0314      	 0.00000000E+00
PROSYN-Clo1313_0315      	 1.35391833E-05
PROSYN-Clo1313_0316      	 1.35391833E-05
PROSYN-Clo1313_0317      	 1.35391833E-05
PROSYN-Clo1313_0346      	 1.82370695E-08
PROSYN-Clo1313_0349      	 2.57873414E-08
PROSYN-Clo1313_0350      	 1.28375764E-08
PROSYN-Clo1313_0365      	 5.45370180E-08
PROSYN-Clo1313_0370      	 0.00000000E+00
PROSYN-Clo1313_0372      	 2.71444607E-07
PROSYN-Clo1313_0373      	 0.00000000E+00
PROSYN-Clo1313_0374      	 0.00000000E+00
PROSYN-Clo1313_0378      	 0.00000000E+00
PROSYN-Clo1313_0380      	 0.00000000E+00
PROSYN-Clo1313_0382      	 0.00000000E+00
PROSYN-Clo1313_0383      	 0.00000000E+00
PROSYN-Clo1313_0384      	 0.00000000E+00
PROSYN-Clo1313_0385      	 0.00000000E+00
PROSYN-Clo1313_0387      	 0.00000000E+00
PROSYN-Clo1313_0388      	 5.73459624E-07
PROSYN-Clo1313_0391      	 0.00000000E+00
PROSYN-Clo1313_0397      	 0.00000000E+00
PROSYN-Clo1313_0398      	 0.00000000E+00
PROSYN-Clo1313_0399      	 4.35302283E-09
PROSYN-Clo1313_0400      	 2.52881885E-07
PROSYN-Clo1313_0403      	 3.43871035E-06
PROSYN-Clo1313_0413      	 1.43930408E-06
PROSYN-Clo1313_0415      	 9.00470098E-06
PROSYN-Clo1313_0420      	 0.00000000E+00
PROSYN-Clo1313_0421      	 4.34870110E-08
